food_id,food_name_en,ingredients_en,,description_en,,main_category_en,calorie_category,rating_avg,calories_per_100g,fats_per_100g,protein_per_100g,carbs_per_100g
203,Vegetarian Sushi,"Rice, vegetables, seaweed, rice vinegar",,Vegetarian sushi with fresh vegetables,,Vegetarian,Low,4.7,143,1.4,6.1,24.1
204,BBQ Chicken,"Chicken, BBQ sauce, onion",,Smoky BBQ chicken,,Poultry,Medium,4.8,215,10,26,5
205,Quinoa Salad,"Quinoa, cucumber, tomato, olive oil",,Healthy quinoa salad,,Salad,Low,4.6,33,0.3,1.4,6.9
206,Chicken Burger,"Chicken, bread, lettuce, cheese",,Tasty and healthy chicken burger,,Poultry,High,4.7,270,14,18,20
208,Tiramisu,"Biscuits, coffee, cream, cocoa",,Famous Italian tiramisu dessert,,Dessert,High,4.9,380,22,8,38
209,Fresh Pineapple Juice,"Pineapple, water, sugar",,Fresh and refreshing pineapple juice,,Beverages,Low,4.7,46,0.1,0.1,11.3
210,Lentil Spinach Soup,"Lentils, spinach, onion, broth",,Lentil soup rich with spinach,,Soup,Medium,4.8,93,0.8,7.5,15.3
212,Lemon Chicken Breast,"Chicken breast, lemon, garlic, olive oil",,Low-fat protein-rich dish,,Poultry,Medium,4.8,165,4.5,27,2
213,Lean Beef Steak,"Lean beef, pepper, olive oil",,"High-protein, low-fat beef steak",,Meat,Medium,4.7,185,7,28.5,0
214,Oven Baked Fish,"White fish, herbs, olive oil",,"Lightly baked fish, no frying",,Seafood,Medium,4.6,205,10.5,22,7.5
216,Grilled Salmon,"Salmon, lemon, dill, olive oil",,Grilled salmon rich in omega-3,,Seafood,Medium,4.9,124,2.7,23,0
218,Chickpea Tahini Salad,"Chickpeas, tahini, lemon, parsley",,Middle Eastern protein-rich salad,,Salad,Low,4.8,166,9.6,7.9,14.3
219,Yogurt Garlic Chicken,"Chicken, yogurt, garlic, pepper",,Light and protein-rich chicken,,Poultry,Medium,4.7,195,9,26,4
221,Beef with Onions,"beef, onions, pepper, oil, spices",,"beef cooked with onions and spices, often served with rice or bread",,Meat,Medium,4.6,240,14,22,5
223,Grilled Chicken on Charcoal,"chicken, garlic, lemon, yogurt, spices, charcoal",,"Marinated chicken grilled over charcoal for a smoky flavor, often served with rice or fries.
",,Poultry,High,4.8,165,3.6,31,0
224,Yellow Lentil Soup with Vermicelli,"yellow lentils, vermicelli, onion, cumin, oil",,"Traditional Egyptian yellow lentil soup with toasted vermicelli, served warm in winter.",,Soup,Low,4.7,93,0.8,7.5,15.3
225,Baladi Bread with Sesame,"wheat flour, yeast, salt, water, sesame seeds",,Traditional Egyptian flatbread baked in the oven and topped with sesame seeds.,,Pastry,Medium,4.5,312,16.4,7.8,36.2
226,Abou-Sa'a Lentil Casserole,"lentils, onion, garlic, cumin, salt, pepper, tomatoes",,A traditional Egyptian casserole made with Abou-Sa'a lentils baked with classic flavors.,,Vegetarian,Medium,4.4,115,1.5,8,19
227,صينية بطاطس بالفراخ المشوية,"potatoes, grilled chicken, onion, tomato, pepper, spices",,A homemade Egyptian-style tray combining potatoes and grilled chicken with rich flavors.,,Poultry,Medium,4.6,175,6,12,18
228,Rice & Vermicelli Casserole,"rice, vermicelli, ghee, salt",,A classic Egyptian baked rice casserole served as a main side dish,,Vegetarian,Medium,4.5,155,4.5,3,27
229,Spicy Chicken Pane,"chicken breast, egg, breadcrumbs, flour, spicy seasoning",,Egyptian-style spicy breaded chicken with a bold flavor mix,,Poultry,High,4.7,265,13,21,17
230,Fattah with Grilled Chicken,"rice, toasted bread, garlic, vinegar, grilled chicken",,A lighter Egyptian version of fattah prepared with grilled chicken,,Poultry,Medium,4.6,177,4.7,9.8,22.8
231,Alexandrian Chicken Kebab,"chicken cubes, onions, pepper, Alexandrian spices",,"Stir-fried chicken kebab with vegetables Alexandrian style
",,Poultry,Medium,4.5,165,3.6,31,0
232,Ground Beef with Sausage,"ground beef, sausage, onion, tomatoes, pepper",,A mix of ground beef and sausage cooked together.,,Meat,High,4.7,301,25.6,17.9,1.8
233,White Beans in Tomato Sauce,"white beans, onion, tomatoes, garlic, cumin",,A simple Egyptian dish of white beans cooked in tomato sauce.,,Vegetarian,Medium,4.4,120,1.5,7,21
235,Dawood Basha Kofta,"minced meat, onions, tomato sauce, spices",,Egyptian-style meatballs cooked in tomato sauce.,,Meat,High,4.7,177,4.7,9.8,22.8
237,Seared Lamb Meat,"lamb, ghee, onion, black pepper",,Quick-seared lamb cooked Egyptian-style.,,Meat,High,4.8,258,18,22,2
238,Egyptian Cucumber Yogurt Salad,"cucumber, yogurt, garlic, mint, salt",,Light and refreshing Egyptian-style yogurt salad.,,Vegetarian,Low,4.5,55,2,3.5,5
239,Fried Eggplant with Mix,"eggplant, garlic, vinegar, pepper, oil",,Crispy fried eggplant topped with garlic–vinegar mix.,,Vegetarian,High,4.6,133,9.7,1.2,10.8
240,Egyptian Arugula Salad,"arugula, tomato, lemon, olive oil",,Simple refreshing salad served with grilled dishes.,,Vegetarian,Low,4.4,30,2,2,3.5
241,Baked Cheese Pasta,"pasta, mozzarella, cheddar, milk, butter",,Rich baked pasta loaded with cheese.,,Pasta,High,4.7,131,1.1,5.1,25.1
242,Egg with Tomato Stew,"eggs, tomatoes, onion, pepper, oil",,Egyptian eggs cooked in tomato stew.,,Vegetarian,Medium,4.4,145,10.5,9,4
243,Yogurt Grilled Chicken,"chicken, yogurt, garlic, lemon, spices",,Chicken marinated in yogurt and grilled.,,Poultry,Medium,4.6,165,3.6,31,0
245,Eggplant Beef Tray,"eggplant, minced beef, onion, tomato, pepper",,Fried eggplant baked with minced beef.,,Meat,High,4.7,250,15,26,0
246,Liver with Onion & Tomato,"liver, onion, tomato, pepper, vinegar",,Liver cooked with onions and tomatoes.,,Meat,Medium,4.5,160,7,23,4.5
247,Stuffed Swiss Chard,"swiss chard, rice, onion, spices",,Rice-stuffed Swiss chard.,,Vegetarian,Low,4.4,99,2.8,2,16.8
248,Fried Zucchini with Garlic,"zucchini, garlic, oil, salt",,Fried zucchini with garlic flavor.,,Vegetarian,Medium,4.3,228,14.2,16.8,9.7
249,Fried Shrimp with Bran,"shrimp, bran, oil, salt, pepper",,Egyptian-style bran-fried shrimp.,,Seafood,Medium,4.6,228,14.2,16.8,9.7
250,Egyptian Freekeh Chicken,"freekeh, chicken, onion, broth, spices",,Freekeh cooked with chicken Egyptian-style.,,Poultry,Medium,4.6,215,6.5,18,22
251,Egyptian Tahini Salad,"tahini, lemon, vinegar, garlic, salt",,Egyptian tahini served with grills.,,Vegetarian,Medium,4.8,178,14.3,6.8,9.7
253,Fava Beans with Ghee,"fava beans, ghee, salt, pepper",,Egyptian fava beans with ghee.,,Vegetarian,Medium,4.7,155,6.5,7.5,19
254,Charcoal-Grilled Liver,"liver, salt, pepper, lemon",,Charcoal-grilled Egyptian-style liver.,,Meat,Medium,4.7,155,5,25,2
255,Roasted Eggplant Salad,"roasted eggplant, lemon, garlic, tahini",,Light roasted eggplant salad.,,Vegetarian,Low,4.6,198,9.3,26.4,0.8
257,Minced Beef with Vegetables,"minced beef, onion, carrot, peas, pepper",,A mix of minced beef and vegetables served with rice or pasta.,,Meat,High,4.6,250,15,26,0
258,Boiled and Fried Chicken,"chicken, onion, bay leaves, salt, pepper",,Egyptian-style boiled then fried chicken.,,Poultry,High,4.5,246,12.1,30.6,2.8
260,Egyptian Vegetable Stew with Meat,"zucchini, potato, carrot, beef, onion",,Egyptian mixed vegetable stew with beef.,,Meat,Medium,4.6,133,6.8,12.7,7.9
261,Egyptian Shakshuka,"eggs, tomato, pepper, onion",,Quick Egyptian-style shakshuka.,,Vegetarian,Medium,4.3,135,9,8.5,5.5
262,Pasta with Sautéed Vegetables,"pasta, zucchini, carrot, pepper, oil",,Light pasta dish with sautéed vegetables.,,Vegetarian,Medium,4.4,170,4,5.5,29
263,Egyptian Red Rice,"rice, tomato sauce, oil",,Egyptian-style red rice often served with fish.,,Vegetarian,Medium,4.5,150,3.5,3.5,27
264,Peas with Beef Casserole,"peas, beef, carrot, tomato sauce",,Peas baked with beef in a casserole.,,Meat,Medium,4.6,165,8,14,12
265,Spiced Boiled Potatoes,"potatoes, lemon, cumin, oil",,Boiled potatoes seasoned Egyptian style.,,Vegetarian,Low,4.2,87,0.1,1.9,20.1
266,Egyptian Tilapia Casserole,"tilapia, tomato, onion, pepper",,Egyptian-style baked tilapia.,,Seafood,Medium,4.5,116,2.6,22,1.7
267,Egyptian Beetroot Salad,"beetroot, vinegar, lemon, oil",,Refreshing beetroot salad served as a side.,,Vegetarian,Low,4.4,44,0.2,1.7,9.6
268,Chicken Kebab Halla,"chicken breast, onion, spices",,Egyptian-style chicken kebab halla.,,Poultry,Medium,4.6,165,3.6,31,0
269,Fried Sardines,"sardines, flour, oil, salt",,Crispy fried sardines.,,Seafood,Medium,4.5,205,10.5,22,7.5
270,Smoked Sausage Pasta,"pasta, smoked sausage, onion, pepper",,Pasta with flavorful smoked sausage.,,Meat,High,4.7,301,25.6,17.9,1.8
275,Chicken Orzo Soup,"orzo pasta, chicken broth, onion, chicken",,Light Egyptian orzo soup cooked with chicken.,,Soup,Low,4.5,38,1.2,4.5,2.9
276,Carrot Vinegar Salad,"shredded carrots, vinegar, lemon, oil, salt",,Light salad of vinegar-seasoned shredded carrots.,,Vegetarian,Low,4.2,35,0.2,0.8,8.2
277,Spinach & Beef Casserole,"spinach, beef, onion, tomato, garlic",,Spinach baked with beef in a casserole.,,Meat,Medium,4.6,155,9,14,6
278,Grilled Mullet with Bran,"mullet fish, bran, salt, lemon",,Egyptian-style mullet grilled with bran.,,Seafood,Low,4.8,124,2.7,23,0
279,Homemade Hati Kofta,"minced beef, grated onion, spices",,Grilled kofta with Egyptian Hati flavor.,,Meat,High,4.8,177,4.7,9.8,22.8
281,Freekeh Vegetable Casserole,"freekeh, zucchini, carrot, onion, tomatoes, broth, oil",,Freekeh baked with mixed vegetables.,,Vegetarian,Medium,4.4,185,3,7,34
283,Dry Crushed Okra,"dried okra, garlic, coriander, oil, chili",,Traditional Egyptian-style dry okra.,,Vegetarian,Low,4.5,142,7.1,14.8,9.7
284,Cold Eggplant Mesakaa,"fried eggplant, tomatoes, vinegar, garlic, pepper",,Cold eggplant with tomato-garlic sauce.,,Vegetarian,Medium,4.6,35,0.2,0.8,8.6
286,Grilled Mackerel,"mackerel, lemon, salt, pepper, oil",,Charcoal-grilled mackerel.,,Seafood,Low,4.7,124,2.7,23,0
287,Egyptian Red Chili Dip,"red chili, oil, garlic, vinegar, salt",,Spicy Egyptian chili-garlic dip.,,Sauce,Low,4.3,97,6.8,2.1,7.9
288,Orzo & Beef Casserole,"orzo, beef, onion, tomato sauce, broth",,Baked orzo casserole with beef.,,Meat,Medium,4.6,220,12,22,3
289,Taro with Swiss Chard & Tomato,"taro, chard, tomato, garlic, broth",,Egyptian taro cooked with chard and tomatoes.,,Vegetarian,Medium,4.4,110,2,3,21
291,Fava Beans with Tomato & Coriander,"fava beans, tomatoes, dried coriander, oil, salt",,Fava beans cooked with tomatoes and coriander.,,Vegetarian,Medium,4.4,112,1,7.6,19.5
293,Fried Potatoes with Garlic & Vinegar,"potatoes, garlic, vinegar, oil, salt",,Crispy potatoes seasoned with garlic and vinegar.,,Vegetarian,Medium,4.5,312,14.7,3.4,41.4
294,Egyptian Seafood Pasta Casserole,"pasta, shrimp, calamari, tomato sauce, garlic",,Egyptian-style seafood pasta casserole.,,Seafood,High,4.6,116,2.6,22,1.7
295,Egyptian Butter Chicken,"chicken, butter, tomato sauce, cream, spices",,Egyptian-style butter chicken.,,Poultry,Medium,4.8,245,13,28,5
296,Grilled Lamb Kebab,"lamb, salt, pepper, onion, spices",,Charcoal-grilled lamb kebab.,,Meat,High,4.7,258,16.5,25.6,0
297,Cucumber Salad with Vinegar & Garlic,"cucumber, vinegar, garlic, salt",,Refreshing cucumber salad with garlic.,,Vegetarian,Low,4.3,20,0.2,0.8,4
298,Yellow Rice with Turmeric,"rice, turmeric, butter, salt",,Yellow rice cooked with turmeric and butter.,,Vegetarian,Medium,4.4,165,5,3,28
299,Beef with Onion & Ghee,"beef, onion, ghee, pepper",,Beef sautéed with onions and ghee.,,Meat,High,4.6,265,17,22,4
300,Egyptian Steamed Vegetables,"potatoes, carrots, zucchini, beans, salt",,Light Egyptian sautéed vegetables.,,Vegetarian,Low,4.2,70,3.5,2.5,8
301,Shrimp Béchamel Pasta,"pasta, shrimp, béchamel, cheese, salt, pepper",,Egyptian-style béchamel pasta with shrimp.,,Seafood,High,4.7,218,11.1,13.6,18.8
302,Spicy Marinated Grilled Chicken,"chicken, chili, vinegar, garlic, oil, spices",,Grilled chicken marinated in a spicy Egyptian mix.,,Poultry,Medium,4.6,165,3.6,31,0
303,Yellow Lentil Casserole,"yellow lentils, onion, garlic, cumin, carrot",,Yellow lentils baked Egyptian-style.,,Vegetarian,Medium,4.5,110,1.5,7.5,18.5
305,Vegan Cabbage Mahshi,"cabbage, rice, tomato sauce, onion, spices",,Vegan Egyptian stuffed cabbage.,,Vegetarian,Medium,4.4,99,2.8,2,16.8
307,Vegan Egyptian Tourly,"potato, zucchini, carrot, onion, tomato",,Vegan Egyptian vegetable tourly.,,Vegetarian,Low,4.3,60,2,2,9.5
308,Spicy Chickpea Soup,"chickpeas, chili, garlic, cumin, broth",,Egyptian spicy chickpea soup.,,Soup,Low,4.5,166,9.6,7.9,14.3
309,Eggplant Béchamel Tray,"eggplant, béchamel, cheese, tomato",,Egyptian-style béchamel eggplant tray.,,Vegetarian,Medium,4.6,218,11.1,13.6,18.8
310,Grilled Sea Bream,"sea bream, lemon, oil, salt",,Grilled sea bream with lemon.,,Seafood,Low,4.7,124,2.7,23,0
311,Hummus,"roasted eggplant, tahini, garlic, lemon, olive oil",,Roasted eggplant dip with tahini,,Vegetarian,Medium,4.8,166,9.6,7.9,14.3
312,Beef Shawarma,"beef, pita bread, tahini, onion, tomato, pickles",,Classic beef shawarma sandwich,,Meat,High,4.8,215,11.2,21.8,9.4
313,Hawawshi,"baladi bread, minced meat, onion, spices",,Stuffed baladi bread with spiced meat,,Meat,High,4.8,268,13.5,16.2,22.1
317,Lemon Mint,"lime, mint, sugar, water",,Refreshing lemon mint drink,,Beverages,Low,4.9,22,0.1,0.3,6.9
320,Alexandrian Liver,"liver, garlic, pepper, vinegar, cumin",,Spicy Alexandrian-style liver,,Meat,High,4.8,191,7.8,24.5,3.2
322,Chicken Pane,"chicken breast, breadcrumbs, egg, spices",,Crispy breaded chicken fillet,,Poultry,High,4.8,265,13,22,17
323,Baklava,"filo pastry, nuts, syrup, ghee",,Layered pastry with nuts and syrup,,Dessert,High,4.9,428,23,6.3,51.2
324,Qatayef,"pancakes, walnuts or cheese, syrup, oil",,Ramadan stuffed pancakes,,Dessert,High,4.9,264,10.2,5.3,38.9
325,Kunafa with Cream,"vermicelli, cream, ghee, syrup",,Cream-filled crispy kunafa,,Dessert,High,4.9,350,18.2,7.4,42.8
326,Om Ali,"bread, milk, nuts, sugar, cream",,Egyptian bread pudding with nuts,,Dessert,High,4.8,289,15.3,6.2,33.7
328,Zalabiya,"dough, oil, syrup",,Fried dough balls in syrup,,Dessert,High,4.7,290,12,4.5,42
329,Cheese Manakish,"dough, akkawi cheese, oil",,Flatbread with melted cheese,,Pastry,High,4.8,276,13.8,11.2,27.9
330,Spinach Fatayer,"dough, spinach, onion, sumac, oil",,Lebanese spinach pies,,Vegetarian,Medium,4.7,368,19.8,7.2,42.1
331,Cheese Sambusak,"pastry, cheese, oil",,Cheese-filled crispy sambusak,,Pastry,High,4.7,291,15.7,9.8,28.3
332,Feseekh,salted fermented mullet,,Traditional fermented fish for Sham El-Naseem,,Seafood,Medium,4.5,116,2.6,22,1.7
333,Smoked Herring,"smoked herring, onion, oil, lemon",,Smoked herring with onion and oil,,Seafood,High,4.6,116,2.6,22,1.7
334,Grilled Tilapia,"tilapia, lemon, garlic, cumin, oil",,Egyptian grilled tilapia,,Seafood,Low,4.8,124,2.7,23,0
335,Fried Shrimp,"shrimp, flour, egg, breadcrumbs",,Crispy fried shrimp,,Seafood,High,4.8,228,14.2,16.8,9.7
336,Kabab Halla,"beef cubes, onion, tomato, ghee",,Egyptian beef stew,,Meat,High,4.7,258,16.5,25.6,0
337,Maqluba,"chicken, rice, eggplant, cauliflower, spices",,Palestinian upside-down rice dish,,Poultry,Medium,4.8,210,7,14,26
338,Mansaf,"lamb, jameed, rice, shrak bread",,Jordanian national dish with yogurt sauce,,Meat,High,4.9,290,16,22,14
339,Shakshuka,"eggs, tomato, onion, pepper, spices",,Poached eggs in spicy tomato sauce,,Vegetarian,Low,4.8,95,5.8,6.2,6.5
340,Grilled Kibbeh,"bulgur, minced meat, onion, spices",,Grilled Levantine kibbeh,,Meat,High,4.8,198,9.3,26.4,0.8
341,Labneh with Zaatar,"strained yogurt, zaatar, olive oil",,Strained yogurt with zaatar,,Vegetarian,Medium,4.7,180,12,8,9
342,Mutabbal,"roasted eggplant, tahini, garlic, lemon",,Smoky eggplant dip,,Vegetarian,Medium,4.7,178,14.3,6.8,9.7
343,Licorice Drink,"licorice root, sugar, water",,Traditional Ramadan licorice drink,,Beverages,Medium,4.6,38,0,0.2,9.4
344,Arabic Coffee,"coffee, cardamom, water",,Light Arabic coffee with cardamom,,Beverages,Low,4.9,49,0.1,0.4,12.1
345,Donuts,"dough, powdered sugar, chocolate",,Glazed fried donuts,,Dessert,High,4.8,380,18,5.5,50
346,Nutella Crepe,"crepe batter, Nutella, banana",,Sweet crepe with Nutella and banana,,Dessert,High,4.9,281,11.4,4.2,43.1
347,Chocolate Chip Cookies,"flour, butter, chocolate chips",,Classic chocolate chip cookies,,Dessert,High,4.9,502,24,5.9,64.5
348,Vanilla Ice Cream,"milk, cream, sugar, vanilla",,Creamy vanilla ice cream,,Dessert,High,4.9,207,11,3.5,23.6
349,Pan-fried Liver with Bran,"liver, bran, garlic, cumin",,Upper Egyptian liver with bran,,Meat,Medium,4.7,180,9,22,3
350,Grilled Chicken,"whole chicken, spices, lemon, oil",,Whole grilled chicken,,Poultry,Medium,4.8,165,3.6,31,0
351,Crispy Fried Chicken,"chicken, spices, breadcrumbs, oil",,Extra crispy fried chicken,,Poultry,High,4.8,246,12.1,30.6,2.8
352,Potato Wedges,"potatoes, oil, spices",,Crispy seasoned potato wedges,,Vegetarian,Medium,4.7,165,6.5,3,24
353,Moussaka,"eggplant, minced meat, béchamel",,Greek-style moussaka with béchamel,,Meat,High,4.8,250,15,26,0
354,Grilled Liver,"liver, onion, cumin, lemon",,Grilled liver skewers,,Meat,Medium,4.7,150,5,25,2.5
356,Egyptian Sausage,"sausage, onion, tomato, pepper",,Egyptian grilled sausage,,Meat,High,4.7,301,25.6,17.9,1.8
359,Mango MilkSmoothie,"mango, milk, sugar, ice",,Creamy mango milkshake,,Beverages,High,4.9,60,0.2,0.4,14.8
360,Karak Tea,"tea, condensed milk, cardamom, ginger",,Strong Gulf-style karak tea,,Beverages,Low,4.8,80,2.5,2.5,12
361,Nescafe,"instant coffee, milk, sugar",,Hot Nescafe with milk,,Beverages,Low,4.6,55,1.5,1.5,9
362,Chocolate Croissant,"croissant dough, chocolate",,Chocolate-filled croissant,,Pastry,High,4.8,312,16.4,7.8,36.2
363,Apple Pie,"pastry, apple, cinnamon, sugar",,Classic American apple pie,,Dessert,High,4.8,368,19.8,7.2,42.1
364,Chicken Cheese Crepe,"crepe, chicken, mozzarella",,Savory chicken and cheese crepe,,Poultry,Medium,4.7,225,9.5,15,22
365,Liver with Onion & Pepper,"liver, onion, bell pepper, spices",,Sautéed liver with colorful peppers,,Meat,Medium,4.7,165,7,23,5
367,Kibbeh bi Laban,"raw or fried kibbeh balls, cooked yogurt, cornstarch, crushed garlic, dried mint",,Kibbeh balls cooked in thick garlicky yogurt sauce,,Meat,Medium,4.9,225,12,14,16
368,Sheikh Al-Mahshi,"baby eggplant, minced meat, pine nuts, spices, tomato sauce",,Stuffed baby eggplant baked with meat and pine nuts – Damascus classic,,Meat,High,4.9,138,5.8,9.4,13.9
369,Yalanji,"grape leaves, rice, onion, tomato, parsley, mint, olive oil, lemon",,Classic Levantine vegetarian stuffed grape leaves,,Vegetarian,Medium,4.8,155,6.5,2,22
370,Fattet Batinjan,"toasted bread, fried eggplant, chickpeas, tahini, yogurt, garlic, pomegranate, almonds",,Levantine eggplant fatteh with pomegranate – rare in Egypt,,Vegetarian,High,4.8,177,4.7,9.8,22.8
371,Muhammara,"roasted red pepper, walnuts, breadcrumbs, olive oil, pomegranate molasses, cumin",,Spicy-sweet red pepper and walnut dip from Aleppo,,Vegetarian,Low,4.9,95,5,3,10
372,Kibbeh Hamda,"raw kibbeh balls, lemon broth, garlic, green coriander",,Aleppine sour lemon and kibbeh soup,,Meat,Medium,4.7,215,11,14,15.5
373,Safiha Baalbakieh,"thin dough, minced meat, tomato, onion, pomegranate molasses, spices",,Open-faced meat pie from Baalbek region,,Meat,High,4.8,250,15,26,0
374,Mfaraket Batata,"potatoes, eggs, garlic, green coriander, cumin, olive oil",,Levantine scrambled potatoes with egg and coriander,,Vegetarian,Medium,4.6,170,7,3,24
375,Dawood Basha,"meat kofta balls, onion, tomato sauce, spices, pine nuts",,Levantine meatballs in tomato sauce with pine nuts,,Meat,Medium,4.9,230,14,18,9
376,Makdous,"baby eggplant, walnuts, red pepper, garlic, olive oil",,Stuffed pickled eggplant in olive oil,,Vegetarian,Medium,4.7,110,8.5,2.5,7
377,Makanek,"ground meat, pine nuts, cumin, cloves, cinnamon, nutmeg, pomegranate molasses",,Spiced Arabic sausage with pomegranate molasses,,Meat,High,4.8,217,11.2,27.3,0
378,Qarymutah,"bulgur, vegetables, grape leaves",,Bulgur cooked with vegetables wrapped in grape leaves,,Vegetarian,Medium,4.6,180,10,18,2
379,Sumaghiyyeh,"sumac, tahini, chard, beef, chickpeas",,"Sumac stew with beef, chard and tahini",,Meat,High,4.9,217,11.2,27.3,0
380,Zibdieh,"shrimp, olive oil, garlic, hot peppers, tomatoes",,Shrimp baked in clay pot with tomatoes and spices,,Seafood,Medium,4.5,116,2.6,22,1.7
381,Kibbeh Nayyeh,"raw meat, bulgur, onion, mint, spices",,Raw spiced meat with bulgur and mint,,Meat,High,4.7,217,11.2,27.3,0
382,Shishbarak,"dough, ground meat, yogurt, garlic",,Meat dumplings in yogurt sauce,,Meat,High,4.8,217,11.2,27.3,0
384,Maftoul,"large couscous, chicken, vegetables, spices",,Large couscous with chicken and vegetables,,Poultry,Medium,4.7,195,5,12,28
391,Soup Fish with sauce,"Fish, Salt, Black pepper, Oil, Onion, Tomato",,"An Egyptian dish made with Fish, Salt, Black pepper, Oil, Onion, Tomato, prepared in a بالصلصة style.",,Seafood,Medium,4.1,116,2.6,22,1.7
398,Salad Rice in the oven,"Rice, Salt, Black pepper, Oil, Onion, Tomato",,"An Egyptian dish made with Rice, Salt, Black pepper, Oil, Onion, Tomato, prepared in a في الفرن style.",,Vegetarian,Medium,3.8,155,3.5,3.5,27
458,Tagine Potato spicy,"Potato, Salt, Black pepper, Oil, Onion, Tomato",,"An Egyptian dish made with Potato, Salt, Black pepper, Oil, Onion, Tomato, prepared in a سبايسي style.",,Vegetarian,Medium,4.2,155,5.5,3,24
465,Moussaka Shrimp spicy,"Shrimp, Salt, Black pepper, Oil, Onion, Tomato",,"An Egyptian dish made with Shrimp, Salt, Black pepper, Oil, Onion, Tomato, prepared in a سبايسي style.",,Seafood,Medium,4.5,99,0.3,24,0.2
498,Fava Beans Onion with sauce,"Onion, Salt, Black pepper, Oil, Onion, Tomato",,"An Egyptian dish made with Onion, Salt, Black pepper, Oil, Onion, Tomato, prepared in a بالصلصة style.",,Vegetarian,Medium,3.6,118,1.2,7.5,20.5
544,Sandwich Chicken fried,"Chicken, Salt, Black pepper, Oil, Onion, Tomato",,"An Egyptian dish made with Chicken, Salt, Black pepper, Oil, Onion, Tomato, prepared in a مقلي style.",,Poultry,Medium,4.9,246,12.1,30.6,2.8
545,Stuffed Rice Alexandrian style,"Rice, Salt, Black pepper, Oil, Onion, Tomato",,"An Egyptian dish made with Rice, Salt, Black pepper, Oil, Onion, Tomato, prepared in a إسكندراني style.",,Vegetarian,Low,4.3,99,2.8,2,16.8
548,Fava Beans Onion Alexandrian style,"Onion, Salt, Black pepper, Oil, Onion, Tomato",,"An Egyptian dish made with Onion, Salt, Black pepper, Oil, Onion, Tomato, prepared in a إسكندراني style.",,Vegetarian,Medium,3.6,120,1.5,7.5,20
549,Soup Peas baladi,"Peas, Salt, Black pepper, Oil, Onion, Tomato",,"An Egyptian dish made with Peas, Salt, Black pepper, Oil, Onion, Tomato, prepared in a بلدي style.",,Vegetarian,Low,4.8,84,0.2,5.4,15.6
578,Sandwich Liver Alexandrian style,"Liver, Salt, Black pepper, Oil, Onion, Tomato",,"An Egyptian dish made with Liver, Salt, Black pepper, Oil, Onion, Tomato, prepared in a إسكندراني style.",,Meat,High,4.6,191,7.8,24.5,3.2
590,Moussaka Beef with onion,"Beef, Salt, Black pepper, Oil, Onion, Tomato",,"An Egyptian dish made with Beef, Salt, Black pepper, Oil, Onion, Tomato, prepared in a بالبصل style.",,Meat,High,4.9,217,11.2,27.3,0
591,Beef Liver with sauce,"Liver, Salt, Black pepper, Oil, Onion, Tomato",,"An Egyptian dish made with Liver, Salt, Black pepper, Oil, Onion, Tomato, prepared in a بالصلصة style.",,Meat,Medium,3.5,168,7,23.5,4
610,Sandwich Beef grilled,"Beef, Salt, Black pepper, Oil, Onion, Tomato",,"An Egyptian dish made with Beef, Salt, Black pepper, Oil, Onion, Tomato, prepared in a مشوي style.",,Meat,Medium,4.6,230,9.5,18,22
616,Tray Bake Chicken in the oven,"Chicken, Salt, Black pepper, Oil, Onion, Tomato",,"An Egyptian dish made with Chicken, Salt, Black pepper, Oil, Onion, Tomato, prepared in a في الفرن style.",,Poultry,Medium,4.3,187,7.4,28.3,0
643,Moussaka Potato with onion,"Potato, Salt, Black pepper, Oil, Onion, Tomato",,"An Egyptian dish made with Potato, Salt, Black pepper, Oil, Onion, Tomato, prepared in a بالبصل style.",,Vegetarian,Medium,4.8,145,6,3.5,20
656,Tagine Chicken spicy,"Chicken, Salt, Black pepper, Oil, Onion, Tomato",,"An Egyptian dish made with Chicken, Salt, Black pepper, Oil, Onion, Tomato, prepared in a سبايسي style.",,Poultry,Medium,4.5,187,7.4,28.3,0
660,Tagine Beef with onion,"Beef, Salt, Black pepper, Oil, Onion, Tomato",,"An Egyptian dish made with Beef, Salt, Black pepper, Oil, Onion, Tomato, prepared in a بالبصل style.",,Meat,Medium,3.7,230,13,20,5
665,Soup Onion fried,"Onion, Salt, Black pepper, Oil, Onion, Tomato",,"An Egyptian dish made with Onion, Salt, Black pepper, Oil, Onion, Tomato, prepared in a مقلي style.",,Vegetarian,Low,3.7,228,14.2,16.8,9.7
685,Soup Chicken baladi,"Chicken, Salt, Black pepper, Oil, Onion, Tomato",,"An Egyptian dish made with Chicken, Salt, Black pepper, Oil, Onion, Tomato, prepared in a بلدي style.",,Poultry,Medium,4.5,187,7.4,28.3,0
689,Soup Garlic baladi,"Garlic, Salt, Black pepper, Oil, Onion, Tomato",,"An Egyptian dish made with Garlic, Salt, Black pepper, Oil, Onion, Tomato, prepared in a بلدي style.",,Vegetarian,Low,4.6,55,2,2.5,7
696,Soup Okra with sauce,"Okra, Salt, Black pepper, Oil, Onion, Tomato",,"An Egyptian dish made with Okra, Salt, Black pepper, Oil, Onion, Tomato, prepared in a بالصلصة style.",,Vegetarian,Low,4.4,142,7.1,14.8,9.7
